======================09/14/2020, 12:39:29======================
2342-PILAS ALCALINAS 000-09/14/2020, 12:39:29-1367803355-4.98
234212-LIBRO DE PROGRAMACION-09/14/2020, 12:39:29-8100869721-13.21
123-CARTUCHERA DE CUERO-09/14/2020, 12:39:29-7740860810-
49323-LAPICES DE COLORES-09/14/2020, 12:39:29-4402870587-
13322-LLANTAS X 4-09/14/2020, 12:39:29-6888069008-5.65
4234-BOTELLAS DE PLATICO-09/14/2020, 12:39:29-7649356272-13.21
144432-CARPETAS PARA EL COLEGIO-09/14/2020, 12:39:29-5282669087-
123234-SILLAS-09/14/2020, 12:39:29-4719908380-34.32
7453455-AURICULARES WIRELESS-09/14/2020, 12:39:29-2746381449-
12323-RESMAS DE 500 HOJAS-09/14/2020, 12:39:29-7543657191-6.82
43233-JUEGO DE CERRADURA-09/14/2020, 12:39:29-8313622085-
1233-VASOS DESCARTABLES-09/14/2020, 12:39:29-7316469605-13.29
1111-CAMPERAS PARA EL FRIO-09/14/2020, 12:39:29-4541545433-
1112-COMIDA DE GATOS-09/14/2020, 12:39:29-7113840493-7.65
324-CUADERNOS ESCOLARES-09/14/2020, 12:39:29-1793262584-
50211-CABLES MICRO USB-09/14/2020, 12:39:29-2133481714-
550211-REPUESTOS DE MOTO-09/14/2020, 12:39:29-5966873941-
34222-ACOLCHADOS-09/14/2020, 12:39:29-5369208733-6.56
56534-GAFAS DE SOL-09/14/2020, 12:39:29-9347321624-50.45
565347-MICROCOMPONENTE-09/14/2020, 12:39:29-3536553344-
444-LAMPARA ELECTRICA-09/14/2020, 12:39:29-8773891904-
4223-LUCES LED NAVIDEñAS-09/14/2020, 12:39:29-9323416182-6.76
64435-JUEGO DE CUBIERTOS-09/14/2020, 12:39:29-6908527963-7.67
113456-CABLES THUNDERBOLT-09/14/2020, 12:39:29-1676165686-
113456234929-VIDEOJUEGOS PARA PS4-09/14/2020, 12:39:29-4839080913-
23698-ESTUFA TIRO BALANCEADO-09/14/2020, 12:39:29-6936591906-21.65
13847-OJOTAS HAVAIANAS X 2-09/14/2020, 12:39:29-7710598726-55.54
10001-AEROSOL DE AMBIENTE-09/14/2020, 12:39:29-5317486569-65.12
1222-OPTICAS PARA AUTO-09/14/2020, 12:39:29-5459352953-
5-CELULAR ANDROID 9.0-09/14/2020, 12:39:29-7944591999-67.56
45355-TRANSFORMADOR FUENTE DE 20V-09/14/2020, 12:39:29-4841096542-
